Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+			
yes	yes	yes	no	no	105	Polanui	KAL	KH	KG	KC	PFF	PFF220525	2022	505 Front St	2022-05-25	8:16	1	NBBF	6	4	4					PFF220525	25.3	35.1	5.74	85.0	8.08	2.87	2.58	2.81	2.75	0.056				Y	0	7	0			
yes	yes	yes	no	no	105	Polanui	KAL	KH	KG	KC	PLH	PLH220525	2023	Lindsey Hale	2022-05-25	8:46	1	NBBF	6	4	4					PLH220525	25.5	34.9	5.66	84.3	8.05	2.18	2.25	2.48	2.30	0.068				N	0	1	0			
yes	yes	yes	no	no	105	Polanui	KAL	KH	KG	KC	PLT	PLT220525	2024	Lahaina Town	2022-05-25	9:05	1	NBBF	6	4	4					PLT220525	26.1	35.4	6.12	92.5	8.06	1.48	1.44	1.42	1.45	0.021				N	0	0	0			
yes	yes	yes	no	no	105	Polanui	KAL	KH	KG	KC	OCO	OCO220525	2028	Camp Olowalu	2022-05-25	9:44	1	NBBF	6	4	4					OCO220525	25.8	35.4	6.58	99.0	8.08	5.96	5.65	5.37	5.66	0.052				N	0	0	0	HQ40d-2 having connection issues; battery a little over half		
yes	yes	yes	no	no	105	Polanui	KAL	KH	KG	KC	OPP	OPP220525	2034	Papalaua Pali	2022-05-25	10:10	1	NBBF	6	4	4					OPP220525	26.6	35.7	6.69	102.1	8.18	9.85	8.39	8.95	9.06	0.081				N	0	3	0			
yes	yes	yes	no	no	106	Polanui	KAL-2	LY	KG	MB	PFF	PFF220615	2022	505 Front St	2022-06-15	8:24	HQ2200 - 3	1	7	1	3					PFF220615	24.7	34.8	#N/A	#N/A	8.01	1.83	1.63	1.88	1.78	0.074				Y	0	3	0	4 dogs in and out of water close to samplers; very low tide- King Tide yesterday; calm, no waves; Re-read DO % (1st read was 80.0%); King Tide June 14-15		
yes	yes	yes	no	no	106	Polanui	KAL-2	LY	KG	MB	PLH	PLH220615	2023	Lindsey Hale	2022-06-15	8:55	HQ2200 - 3	1	7	1	3					PLH220615	27.1	34.7	#N/A	#N/A	8.07	1.19	1.15	1.25	1.20	0.042				N	0	2	0	Photo of low tide (Meredith); Turbidity meter wouldn't turn on - adjusted batteries and it worked; Low DO 2nd read = 77.5%; King Tide June 14-15		
yes	yes	yes	no	no	106	Polanui	KAL-2	LY	KG	MB	PLT	PLT220615	2024	Lahaina Town	2022-06-15	9:20	HQ2200 - 3	1	7	1	3					PLT220615														N	4	0	0	Sample is QA'd out due to sampling in too shallow of water		
yes	yes	yes	no	no	106	Polanui	KAL-2	LY	KG	MB	OCO	OCO220615	2028	Camp Olowalu	2022-06-15	9:54	HQ2200 - 3	1	7	1	3					OCO220615	26.4	35.4	#N/A	#N/A	8.13	1.24	1.22	1.12	1.19	0.054				N	2	2	0	4 people in the water initiallt but 2 exited to the beach before sample was taken; 4th Turbidity = 1.39; Confirmed Salinity with 2nd read; King Tide June 14-15		
yes	yes	yes	no	no	106	Polanui	KAL-2	LY	KG	MB	OPP	OPP220615	2034	Papalaua Pali	2022-06-15	10:25	HQ2200 - 3	1	7	1	3					OPP220615	26.7	35.6	#N/A	#N/A	8.23	2.22	2.48	2.52	2.41	0.067				N	0	6	0	4th Turbidity read = 1.77; 5th Turbidity read = 2.52 (replaced 3rd read which was 3.00); 2nd consistent read for Salinity (35.5) and DO% (113.7); King Tide June 14-15		
yes	yes	yes	no	no	107	Polanui	KAL-2	LY	KG	TG	PFF	PFF220706	2022	505 Front St	2022-07-06	8:20	HQ2200 - 4	NBBF	6	4	4					PFF220706	26.7	35.1	5.74	86.7	8.05	1.92	2.04	2.04	2.00	0.035				Y	4	2	0	Calm, sunny, clear skies, canoe setting up to go out as sample was taken; Photo taken of freshwater (Kristie), resembles last session; took a 4th turbidity reading		
yes	yes	yes	no	no	107	Polanui	KAL-2	LY	KG	TG	PLH	PLH220706	2023	Lindsey Hale	2022-07-06	8:55	HQ2200 - 4	NBBF	6	4	4					PLH220706	27.1	34.9	4.58	69.7	8.01	5.30	4.92	5.64	5.29	0.068				N	0	0	0	Canoe just paddled past sample sit minutes before sample taken and stirred up sand & sediments; Most of the shore looks murky; Took a 4th turbidity reading; 2nd D0 reading = 4.65 mg/L and 70.7% (temp & salinity consistent)		
yes	yes	yes	no	no	107	Polanui	KAL-2	LY	KG	TG	PLT	PLT220706	2024	Lahaina Town	2022-07-06	9:14	HQ2200 - 4	NBBF	6	4	4					PLT2200706	26.9	34.8	5.28	79.9	8.05	7.05	6.30	6.97	6.77	0.061				N	4	4	0	4 kayaks floated by before sample; Less murky than PLHl Very shallow; 4th & 5th turbidty taken 		
yes	yes	yes	no	no	107	Polanui	KAL-2	LY	KG	TG	OCO	OCO220706	2028	Camp Olowalu	2022-07-06	9:48	HQ2200 - 4	NBBF	6	4	4					OCO220706	26.5	35.7	6.12	92.5	8.10	1.39	1.25	1.32	1.32	0.053				N	0	0	1	Calm, sunny, more clear than last 2 sites; 4th turbidity reading		
yes	yes	yes	no	no	107	Polanui	KAL-2	LY	KG	TG	OPP	OPP220706	2034	Papalaua Pali	2022-07-06	10:12	HQ2200 - 4	NBBF	6	4	4					OPP220706	26.0	35.4	6.77	101.4	8.17	11.70	11.00	11.30	11.33	0.031				N	0	0	0	small shore break; strong drop off & undertow; At lab: Post-sampl Blank 1st read = 0.58 NTU (clean & oiled); 2nd read= 0.34 NTU (repeat); 3rd = 0.76... replaced blank with spare cell for the field tomorrow		
yes	yes	yes	no	no	108	Polanui	KAL-2	KG	KH	KC	PFF	PFF220727	2022	505 Front St	2022-07-27	8:16	HQ2200 - 3	1	7	4	3					PFF220727	26.0	35.3	6.25	93.8	8.10	2.12	2.36	2.25	2.24	0.054				Y	0	5	0	Beach-goer/ local said sediment cleared up through channel after last swell. Site seemed clearer. Canoe paddled through site ~5 min before sample was taken. SUP Yoga class with 4 people ~30 ft from sample site. Calm waters. Monk seal resting ~200 feet out. 		
yes	yes	yes	no	no	108	Polanui	KAL-2	LY	KH	KC	PLH	PLH220727	2023	Lindsey Hale	2022-07-27	8:53	HQ2200 - 3	1	7	4	3					PLH220727	26.2	35.1	5.84	87.9	8.12	1.02	1.18	1.16	1.12	0.078				N	2	1	0			
yes	yes	yes	no	no	108	Polanui	KAL-2	LY	KH	KC	PLT	PLT220727	2024	Lahaina Town	2022-07-27	9:23	HQ2200 - 3	1	7	4	3					PLT220727	26.6	35.7	6.34	96.6	8.09	0.86	0.76	0.79	0.80	0.064				N	11	0	0			
yes	yes	no	no	no	108	Polanui	KAL-2				OCO	OCO220727	2028	Camp Olowalu	2022-07-27											OCO220727																		No samples taken because of traffic preventing access to site.		
yes	yes	no	no	no	108	Polanui	KAL-2				OPP	OPP220727	2034	Papalaua Pali	2022-07-27											OPP220727																		No samples taken because of traffic preventing access to site.		
yes	yes	yes	no	no	109	Polanui	KAL-2	TG	KG		PFF	PFF220817	2022	505 Front St	2022-08-17	8:13	HQ2200 - 4	1	6	4	4					PFF220817	26.8	35.4	5.84	88.8	8.10	1.46	1.35	1.35	1.39	0.046				Y	0	8	0	Strong shore break; departing canoe with 3 people.		
yes	yes	yes	no	no	109	Polanui	KAL-2	TG	KG		PLH	PLH220817	2023	Lindsey Hale	2022-08-17	8:34	HQ2200 - 4	1	6	4	4					PLH220817	26.8	35.4	6.26	95.2	8.09	18.90	19.40	18.50	18.93	0.024				N	2	1	0	Switched filter mid-plunge on syringe; Very silty/sandy water nearshore.		
yes	yes	yes	no	no	109	Polanui	KAL-2	TG	KG		PLT	PLT220817	2024	Lahaina Town	2022-08-17	8:54	HQ2200 - 4	1	6	4	4					PLT220817	27.4	34.8	5.56	85.0	8.06	14.60	13.70	14.20	14.17	0.032				N	5	1	0	2 SUPs walking out in water just prior to sampling. Filter gets more difficult 1/2 way through.		
yes	yes	yes	no	no	109	Polanui	KAL-2	TG	KG		OCO	OCO220817	2028	Camp Olowalu	2022-08-17	9:35	HQ2200 - 4	1	6	4	4					OCO220817	28.2	35.8	6.15	95.9	8.06	4.05	4.03	4.14	4.07	0.014				N	0	0	0			
yes	yes	yes	no	no	109	Polanui	KAL-2	TG	KG		OPP	OPP220817	2034	Papalaua Pali	2022-08-17	9:48	HQ2200 - 4	1	6	4	4					OPP220817	28.1	35.8	6.31	98.3	8.10	5.50	6.11	5.15	5.59	0.087				N	0	2	0	4th turbidity taken. Couldn't get post-sample turbidity verification low standard to read higher than 5.63 NTU.		
yes	yes	yes	no	no	110	Polanui	KAL-2	KH	KG		PFF	PFF220907	2022	505 Front St	2022-09-07	8:09	HQ2200 - 3	1	7	1	3					PFF220907	27.3	35.8	5.29	81.4	8.02	2.18	2.07	2.00	2.08	0.044				Y	1	3	0	Turbidity Low pre-sample readings: 5.61 and 5.63 NTU. 5 turbidity readings. Forgot to invert for first reading.		
yes	yes	yes	no	no	110	Polanui	KAL-2	KH	KG		PLH	PLH220907	2023	Lindsey Hale	2022-09-07	8:40	HQ2200 - 3	1	7	1	3					PLH220907	27.4	35.2	5.59	85.9	8.05	4.95	4.93	4.56	4.81	0.046				N	0	2	0			
yes	yes	yes	no	no	110	Polanui	KAL-2	KH	KG		PLT	PLT220907	2024	Lahaina Town	2022-09-07	9:01	HQ2200 - 3	1	7	1	3					PLT220907	27.9	35.3	5.56	86.1	8.03	2.83	3.44	3.19	3.15	0.097				N	0	0	0			
yes	yes	yes	no	no	110	Polanui	KAL-2	KH	KG		OCO	OCO220907	2028	Camp Olowalu	2022-09-07	9:32	HQ2200 - 3	1	7	1	3					OCO220907	27.4	36.0	6.19	95.5	8.07	3.25	3.62	3.44	3.44	0.054				N	0	4	0	Large campsite but no people in sight (probably those on the beach)		
yes	yes	yes	no	no	110	Polanui	KAL-2	KH	KG		OPP	OPP220907	2034	Papalaua Pali	2022-09-07	9:55	HQ2200 - 3	1	7	1	3					OPP220907	27.2	35.9	6.59	101.6	8.19	8.23	8.33	8.18	8.25	0.009				N	0	2	0	Turbidity sample caught on incoming wave - shorebreak is close to knee-level grab spot. 4th turbidity reading. * Low turbidity standard read lower after being cleaned. 		
yes	yes	yes	no	no	111	Polanui	KAL-2	KH	TG		PFF	PFF220928	2022	505 Front St	2022-09-28	8:09	HQ2200 - 4	1	6	4	4					PFF220928	26.7	35.9	6.33	96.3	8.15	3.52	4.04	3.46	3.67	0.087				Y	0	0	0	Photo taken & emailed of fresh water flow.		
yes	yes	yes	no	no	111	Polanui	KAL-2	KH	TG		PLH	PLH220928	2023	Lindsey Hale	2022-09-28	8:35	HQ2200 - 4	1	6	4	4					PLH220928	26.7	35.7	6.40	97.0	8.15	13.80	13.90	14.60	14.10	0.031				N	0	3	0	Sites overall: not much wave or water action; several sites seem more turbid; wave patterns causing lingering turbidity.		
yes	yes	yes	no	no	111	Polanui	KAL-2	KH	TG		PLT	PLT220928	2024	Lahaina Town	2022-09-28	8:59	HQ2200 - 4	1	6	4	4					PLT220928	27.1	35.7	6.22	95.2	8.15	9.85	10.50	10.60	10.32	0.039				N	0	4	0	2 dogs in the water		
yes	yes	yes	no	no	111	Polanui	KAL-2	KH	TG		OCO	OCO220928	2028	Camp Olowalu	2022-09-28	9:29	HQ2200 - 4	1	6	4	4					OCO220928	27.4	35.9	6.51	99.9	8.15	3.40	3.43	3.48	3.44	0.012				N	0	8	0			
yes	yes	yes	no	no	111	Polanui	KAL-2	KH	TG		OPP	OPP220928	2034	Papalaua Pali	2022-09-28	9:54	HQ2200 - 4	1	6	4	4					OPP220928	27.4	35.9	6.79	104.5	8.21	10.80	10.90	10.80	10.83	0.005				N	0	0	0			
yes	yes	yes	no	no	112	Polanui	OLP	KH	KG	TG	PFF	PFF221019	2022	505 Front St	2022-10-19	8:10	HQ2200 - 3	1	7	1	3					PFF221019	26.6	34.4	6.23	94.2	8.08	2.11	2.20	2.42	2.24	0.071				Y	0	7	0	Took a 4th turbidity read = 2.14 NTU. Photo taken. 		
yes	yes	yes	no	no	112	Polanui	OLP	KH	KG	TG	PLH	PLH221019	2023	Lindsey Hale	2022-10-19	8:38	HQ2200 - 3	1	7	1	3					PLH221019	26.3	35.8	6.15	93.3	8.07	11.20	10.70	10.80	10.90	0.024				N	0	2	0	Culvert dug out. Photo taken.		
yes	yes	yes	no	no	112	Polanui	OLP	KH	KG	TG	PLT	PLT221019	2024	Lahaina Town	2022-10-19	8:56	HQ2200 - 3	1	7	1	3					PLT221019	26.8	36.0	6.12	93.7	8.07	7.93	7.82	7.94	7.90	0.008				N	0	2	0			
yes	yes	yes	no	no	112	Polanui	OLP	KH	KG	TG	OCO	OCO221019	2028	Camp Olowalu	2022-10-19	9:28	HQ2200 - 3	1	7	1	3					OCO221019	27.8	36.3	5.98	93.2	8.07	3.86	3.79	3.70	3.78	0.021				N	1	1	0	New paddle, double hull boat causing minimal parking. 		
yes	yes	yes	no	no	112	Polanui	OLP	KH	KG	TG	OPP	OPP221019	2034	Papalaua Pali	2022-10-19	9:47	HQ2200 - 3	1	7	1	3					OPP221019	27.5	36.2	6.44	99.9	8.11	5.82	6.17	6.52	6.17	0.057				N	0	0	0			
yes	yes	yes	no	no	113	Polanui	OLP	KG	MS		PFF	PFF221109	2022	505 Front St	2022-11-09	8:10	HQ2200 - 4	4	6	4	4					PFF221109	26.0	35.9	6.11	91.6	8.07	2.74	3.23	3.17	3.05	0.088				Y	20	2	0	Fire in Kaua'ula Valley started 11/8/22. 850+ acres burned so far and not yet fully controlled. (People in water included 5 kayaks or 20 people)		
yes	yes	yes	no	no	113	Polanui	OLP	KG	MS		PLH	PLH221109	2023	Lindsey Hale	2022-11-09	8:38	HQ2200 - 4	4	6	4	4					PLH221109	25.7	35.2	6.55	97.3	8.07	24.60	25.30	25.60	25.17	0.020				N	0	0	0	Shallow, calm water and sediment very visible; silty; 4th turbidity reading = 24.6. (Photo of water flow at entrance)		
yes	yes	yes	no	no	113	Polanui	OLP	KG	MS		PLT	PLT221109	2024	Lahaina Town	2022-11-09	9:07	HQ2200 - 4	4	6	4	4					PLT221109	26.3	35.1	5.75	86.2	8.04	16.60	17.20	15.90	16.57	0.039				N	0	2	0	Neighbor reports pool with chlorine drained into storm drain - approximately monthly - flowing toward reef; 4th turbidity reading 16.6; distance from shoreline increased for knee-level collection (farther than usual collection zone)		
yes	yes	yes	no	no	113	Polanui	OLP	KG	MS		OCO	OCO221109	2028	Camp Olowalu	2022-11-09	9:46	HQ2200 - 4	4	6	4	4					OCO221109	26.0	36.0	6.68	100.1	8.10	2.19	2.02	2.03	2.08	0.046				N	0	0	0	Noticed pipe extedning from shore, exposed by erosion? Photo taken. 		
yes	yes	yes	no	no	113	Polanui	OLP	KG	MS	LY	OPP	OPP221109	2034	Papalaua Pali	2022-11-09	10:10	HQ2200 - 4	4	6	4	4					OPP221109	25.9	35.6	7.12	106.2	8.15	5.69	5.24	5.58	5.50	0.043				N	0	0	0	4th turbidity taken; 2nd DO taken & confirmed; some algae on rocks near sample site. 		
yes	yes	yes	no	no	114	Polanui	OLP	KG	KH	TG	PFF	PFF221130	2022	505 Front St	2022-11-30	8:09	HQ2200 - 4	4	6	4	4					PFF221130	25.8	35.7	6.35	95.3	8.13	1.25	1.50	1.44	1.40	0.093				Y	0	0	0	Took two reads on pre-sample turbidity blank.		
yes	yes	yes	no	no	114	Polanui	OLP	KG	KH	TG	PLH	PLH221130	2023	Lindsey Hale	2022-11-30	8:33	HQ2200 - 4	4	6	4	4					PLH221130	25.8	35.5	6.48	97.0	8.16	16.10	16.00	15.50	15.87	0.020				N	0	3	0	Lots of debris washed up (coral & logs). Samples taken in/near shorebreak. 		
yes	yes	yes	no	no	114	Polanui	OLP	KG	KH	TG	PLT	PLT221130	2024	Lahaina Town	2022-11-30	8:49	HQ2200 - 4	4	6	4	4					PLT221130	25.8	34.9	6.46	96.5	8.13	19.30	19.10	18.20	18.87	0.031				N	0	0	0	Visibly silty.		
yes	yes	yes	no	no	114	Polanui	OLP	KG	KH	TG	OCO	OCO221130	2028	Camp Olowalu	2022-11-30	9:18	HQ2200 - 4	4	6	4	4					OCO221130	26.1	35.6	6.13	92.1	8.04	11.20	12.00	12.10	11.77	0.042				N	0	0	1	Resident campers in the trees on the beach. Three vehicles. 4th turbidity was 11.2 NTU.		
yes	yes	yes	no	no	114	Polanui	OLP	KG	KH	TG	OPP	OPP221130	2034	Papalaua Pali	2022-11-30	9:38	HQ2200 - 4	4	6	4	4					OPP221130	26.6	35.8	6.67	101.4	8.11	6.46	7.24	6.88	6.86	0.057				N	0	0	1	High tide. Camper in shade tent.		
yes	yes	yes	no	no	115	Polanui	OLP	KG	KH	TG	PFF	PFF221221	2022	505 Front St	2022-12-21	8:15	HQ2200 - 3	1	7	1	3					PFF221221	24.4	35.6	6.36	93.4	8.15	4.04	4.34	4.26	4.21	0.037				Y	1	2	0	Big rain and flooding 12/18 - 12/19. Second reading of Turbidity LOW = 5.66		
yes	yes	yes	no	no	115	Polanui	OLP	KG	KH	TG	PLH	PLH221221	2023	Lindsey Hale	2022-12-21	8:40	HQ2200 - 3	1	7	1	3					PLH221221	24.6	35.9	6.31	93.1	8.15	6.69	6.03	6.26	6.33	0.053				N	0	1	0	Streamflow outlet completely exposed; 4th turbidity = 5.57		
yes	yes	yes	no	no	115	Polanui	OLP	KG	KH	TG	PLT	PLT221221	2024	Lahaina Town	2022-12-21	9:02	HQ2200 - 3	1	7	1	3					PLT221221	24.7	35.9	6.33	93.6	8.15	5.23	4.66	5.03	4.97	0.058				N	8	5	0	6 kayaks, 1 SUP in ocean near sample site. Lots of leaves in & near shore water. Dead pufferfish outside 100 ft area. 		
yes	yes	yes	no	no	115	Polanui	OLP	KG	KH	TG	OCO	OCO221221	2028	Camp Olowalu	2022-12-21	9:34	HQ2200 - 3	1	7	1	3					OCO221221	25.3	35.6	6.38	95.0	8.14	16.90	14.70	17.60	16.40	0.092				N	0	0	1	4th turbididty = 20.2; Full parking on beach. Car camping in the last one. 		
yes	yes	yes	no	no	115	Polanui	OLP	KG	KH	TG	OPP	OPP221221	2034	Papalaua Pali	2022-12-21	9:54	HQ2200 - 3	1	7	1	3					OPP221221	24.3	36.1	6.73	98.9	8.14	34.90	33.40	33.30	33.87	0.026				N	2	2	0	Heavy debris in water and samples. Filtered out larger pieces before testing. Post- sample Turbidity LOW : 1st read = 5.52, 2nd read = 5.56, 3rd read = 5.54		
yes	yes	yes	no	no	116	Polanui	OLP	KG	KH	TG	PFF	PFF230118	2022	505 Front St	2023-01-18	8:12	HQ2200 - 4	4	6	4	4					PFF230118	24.8	35.5	6.13	89.9	8.07	0.67	0.90	0.80	0.79	0.146				Y	0	0	0	Extra turbidity reading taken: peaceful & calm water		
yes	yes	yes	no	no	116	Polanui	OLP	KG	KH	TG	PLH	PLH230118	2023	Lindsey Hale	2023-01-18	8:36	HQ2200 - 4	4	6	4	4					PLH230118	24.5	35.4	5.75	83.8	8.08	4.70	4.80	5.10	4.87	0.043				N	0	2	0	peaceful & calm water		
yes	yes	yes	no	no	116	Polanui	OLP	KG	KH	TG	PLT	PLT230118	2024	Lahaina Town	2023-01-18	8:55	HQ2200 - 4	4	6	4	4					PLT230118	24.5	35.5	5.87	85.7	8.09	2.42	2.58	2.37	2.46	0.045				N	0	1	0	peaceful & calm water		
yes	yes	yes	no	no	116	Polanui	OLP	KG	KH	TG	OCO	OCO230118	2028	Camp Olowalu	2023-01-18	9:25	HQ2200 - 4	4	6	4	4					OCO230118	25.9	35.7	6.35	94.9	8.07	1.29	1.60	1.23	1.37	0.145				N	0	4	1	4th turbuduty taken that confirmed 1.62; peaceful & calm water		
yes	yes	yes	no	no	116	Polanui	OLP	KG	KH	TG	OPP	OPP230118	2034	Papalaua Pali	2023-01-18	9:45	HQ2200 - 4	4	6	4	4					OPP230118	25.8	35.9	6.96	104.3	8.13	8.74	8.88	8.83	8.82	0.008				N	0	0	0	medium/small waves		
yes	yes	yes	no	no	117	Polanui	OLP	KG	LY	TG	PFF	PFF230208	2022	505 Front St	2023-02-08	8:18	HQ2200 - 3	1	7	1	3					PFF230208	24.0	35.3	5.66	82.0	8.10	3.89	4.33	3.45	3.89	0.113				Y	0	0	0	4th turbidity taken		
yes	yes	yes	no	no	117	Polanui	OLP	KG	LY	TG	PLH	PLH230208	2023	Lindsey Hale	2023-02-08	8:45	HQ2200 - 3	1	7	1	3					PLH230208	24.5	35.2	5.23	76.3	8.05	7.79	9.01	8.83	8.54	0.077				N	0	2	0	2nd DO% taken to verify, same reading. Brown and silty water at the shore; calm waters		
yes	yes	yes	no	no	117	Polanui	OLP	KG	EJ	TG	PLT	PLT230208	2024	Lahaina Town	2023-02-08	9:05	HQ2200 - 3	1	7	1	3					PLT230208	24.8	35.5	5.54	81.3	8.08	9.25	9.31	9.98	9.51	0.043				N	0	0	0	Brown and silty water at the shore; calm waters		
yes	yes	yes	no	no	117	Polanui	OLP	KG	EJ	TG	OCO	OCO230208	2028	Camp Olowalu	2023-02-08	9:42	HQ2200 - 3	1	7	1	3					OCO230208	24.3	35.8	6.81	99.2	8.15	2.98	3.11	3.55	3.21	0.093				N	0	0	1	Wind picking up, sunny		
yes	yes	yes	no	no	117	Polanui	OLP	KG	EJ	TG	OPP	OPP230208	2034	Papalaua Pali	2023-02-08	10:04	HQ2200 - 3	1	7	1	3					OPP230208	24.0	35.5	7.04	102.2	8.16	2.31	2.79	2.60	2.57	0.094				N	0	0	0	Windy & wave action; 3-4 ft shorebreak		
yes	yes	yes	no	no	118	Polanui	OLP	KG	KH	TG	PFF	PFF230301	2022	505 Front St	2023-03-01	8:11	HQ2200 - 4	4	6	4	4					PFF230301	23.5	34.6			8.14	1.23	1.14	1.32	1.23	0.073				Y	0	0	0	Sprinkling rain		
yes	yes	yes	no	no	118	Polanui	OLP	KG	KH	TG	PLH	PLH230301	2023	Lindsey Hale	2023-03-01	8:34	HQ2200 - 4	4	6	4	4					PLH230301	23.4	35.6			8.16	2.88	2.22	2.38	2.49	0.138				N	1	1	0	Sprinkling rain		
yes	yes	yes	no	no	118	Polanui	OLP	KG	KH	TG	PLT	PLT230301	2024	Lahaina Town	2023-03-01	8:53	HQ2200 - 4	4	6	4	4					PLT230301	23.5	35.5			8.15	2.58	2.60	2.41	2.53	0.041				N	0	0	0	Sprinkling rain		
yes	yes	yes	no	no	118	Polanui	OLP	KG	KH	TG	OCO	OCO230301	2028	Camp Olowalu	2023-03-01	9:25	HQ2200 - 4	4	6	4	4					OCO230301	22.7	35.9			8.13	7.48	8.12	7.97	7.86	0.043				N	0	0	0	Newly baracaded beach access. We parked by Camp Olowalu exit gate. Suspended green "stuff" in surf and silt		
yes	yes	yes	no	no	118	Polanui	OLP	KG	KH	TG	OPP	OPP230301	2034	Papalaua Pali	2023-03-01	9:49	HQ2200 - 4	4	6	4	4					OPP230301	23.1	36.1			8.18	4.24	4.66	4.70	4.53	0.056				N	0	0	0	Windy! Samples grabbed very closed to shorebreak. 		
yes	yes	yes	no	no	119	Polanui	OLP	KG	KH	TG	PFF	PFF230322	2022	505 Front St	2023-03-22	8:16	HQ2200 - 3	1	7	1	3					PFF230322	25.0	36.4	6.20	91.9	8.08	8.83	11.90	11.20	10.64	0.151				Y	0	6	0	Ran fourth read for pre-sample 'High'- read 624 twice; Overcast and sprinkling rain; stream flowing, different direction- photo taken by KG; took second reading because salinity out of range; low tide at 10:40 am		
yes	yes	yes	no	no	119	Polanui	OLP	KG	KH	TG	PLH	PLH230322	2023	Lindsey Hale	2023-03-22	8:43	HQ2200 - 3	1	7	1	3					PLH230322	25.1	36.0	5.66	84.1	8.05	10.10	10.60	10.30	10.33	0.024				N	0	4	0	Drainage pipe cleared; Overcast and sprinkling rain; took second reading because salinityand DO% out of range- new values entered; low tide at 10:40 am		
yes	yes	yes	no	no	119	Polanui	OLP	KG	KH	TG	PLT	PLT230322	2024	Lahaina Town	2023-03-22	9:02	HQ2200 - 3	1	7	1	3					PLT230322	25.1	36.3	5.61	83.6	8.05	4.85	5.35	6.45	5.55	0.147				N	4	1	0	 Overcast and sprinkling rain; took second reading because salinityand DO% out of range- new values entered;  surf and wave action; took fourth reading because forgot to invert inbetween readings; low tide at 10:40 am		
yes	yes	yes	no	no	119	Polanui	OLP	KG	KH	EJ	OCO	OCO230322	2028	Camp Olowalu	2023-03-22	9:36	HQ2200 - 3	1	7	1	3					OCO230322	26.0	36.2	6.50	98.1	8.03	9.00	10.30	9.03	9.44	0.079				N	0	0	0	Overcast and sprinkling rain; low tide at 10:40 am		
yes	yes	yes	no	no	119	Polanui	OLP	KG	KH	EJ	OPP	OPP230322	2034	Papalaua Pali	2023-03-22	9:57	HQ2200 - 3	1	7	1	3					OPP230322	26.1	36.9	6.79	102.6	8.13	6.77	6.93	7.37	7.02	0.044				N	0	0	1	Overcast and sprinkling rain; surf and wave action; low tide at 10:40 am		
yes	yes	yes	no	no	120	Polanui	OLP	KG	KH		PFF	PFF230412	2022	505 Front St	2023-04-12	8:14	HQ2200 - 4	4	6	4	3					PFF230412	24.7	33.9	6.00	87.3	8.04	0.87	0.91	0.81	0.86	0.058				Y	0	5	0	See water flow photos. Turbidity Pre-Verification: 2 more readings of blank were 0.09 and 0.10. One more reading of Med was 6.29 (probably means 62.9)		
yes	yes	yes	no	no	120	Polanui	OLP	KG	KH		PLH	PLH230412	2023	Lindsey Hale	2023-04-12	8:41	HQ2200 - 4	4	6	4	3					PLH230412	24.9	34.9	6.10	89.5	8.06	2.27	2.41	2.40	2.36	0.033				N	1	3	0	8 paddle boards		
yes	yes	yes	no	no	120	Polanui	OLP	KG	KH		PLT	PLT230412	2024	Lahaina Town	2023-04-12	9:02	HQ2200 - 4	4	6	4	3					PLT230412	25.5	35.2	5.69	84.6	8.04	3.67	4.01	4.36	4.01	0.086				N	6	0	0	Super fine sediment agitated by paddle boarders & samples. 4th turbidity reading = 5.06. 1st read had a tiny bit longer in meter before "read" ~ 10 seconds		
yes	yes	yes	no	no	120	Polanui	OLP	KG	KH		OCO	OCO230412	2028	Camp Olowalu	2023-04-12	9:38	HQ2200 - 4	4	6	4	3					OCO230412	24.0	36.0	6.56	95.6	8.07	0.80	0.85	0.87	0.84	0.043				N	0	0	0			
yes	yes	yes	no	no	120	Polanui	OLP	KG	KH		OPP	OPP230412	2034	Papalaua Pali	2023-04-12	10:01	HQ2200 - 4	4	6	4	3					OPP230412	24.3	35.6	6.92	101.2	8.11	2.37	2.69	3.06	2.71	0.128				N	0	0	0	4th turbidity read = 3.28		
yes	yes	yes	no	no	121	Polanui	OLP	KG	KH	LY	PFF	PFF230503	2022	505 Front St	2023-05-03	8:22	HQ2200 - 3	1	7	1	Refracto					PFF230503	25.3	35.0	6.63	98.0	8.10	4.55	4.70	4.79	4.68	0.026				Y	0	0	0	Low tide, high surf, possibly 36 salinity. * All sites were sunny with breeze increasing.		
yes	yes	yes	no	no	121	Polanui	OLP	KG	KH	LY	PLH	PLH230503	2023	Lindsey Hale	2023-05-03	8:55	HQ2200 - 3	1	7	1	Refracto					PLH230503	26.0	35.5	6.88	102.9	8.12	2.04	2.21	2.11	2.12	0.040				N	0	0	0	Low tide, high surf		
yes	yes	yes	no	no	121	Polanui	OLP	KG	TG	EJ	PLT	PLT230503	2024	Lahaina Town	2023-05-03	9:22	HQ2200 - 3	1	7	1	Refracto					PLT230503	26.5	36.0	7.06	106.3	8.13	2.37	2.28	2.16	2.27	0.046				N	1	1	0	2 swimming dogs exiting water as we enter; Car door closed while 1st turbidity was being read; confirmed DO with second reading 		
